location,method,Trait,gen.var,error.var,phen.var,h2std,H2.Estimate,H2.SE,H2Cullis,Reptability
AYTWhite_2021_Mason,Block,Grain_Yield,371908.65,15240.308,379528.804,0.98,0.960634512,0.010296183,0.980901304,0.961802608
AYTWhite_2021_Mason,Block+Spatial,Grain_Yield,380633.086,40.96,380653.565,1,0.866245686,0.032715847,0.990356173,0.980712345
DH_Neo_21,Block,Test_weight,182.496,93.168,195.805,0.932,0.662022097,0.161022121,0.819680768,0.639361535
DH_Neo_21,Block+Spatial,Test_weight,133.723,38.243,139.187,0.961,0.21802035,0.090225991,0.790676601,0.581353203
DH_Neo_21,Block,Plant_height,58.86,16.695,61.245,0.961,0.779034226,0.108134176,0.874627173,0.749254345
DH_Neo_21,Block+Spatial,Plant_height,41.15,0,41.15,1,0.211194224,0.065017544,0.865399545,0.73079909
DH_Neo_21,Block,Grain_Yield,119613.075,226443.688,151962.173,0.787,0.345645823,0.264172828,0.667486066,0.334972132
DH_Neo_21,Block+Spatial,Grain_Yield,141851.175,10869.138,143403.909,0.989,0.133357945,0.05099343,0.810283833,0.620567667
DH2_Urb_21,Block,Test_weight,174.91,155.46,197.119,0.887,0.529436178,0.203830708,0.762936201,0.525872401
DH2_Urb_21,Block+Spatial,Test_weight,173.385,26.386,177.155,0.979,0.246706326,0.095139292,0.813652219,0.627304437
DH2_Urb_21,Block,Plant_height,5.425,32.957,10.133,0.535,0.141339575,0.197395397,0.570580572,0.141161143
DH2_Urb_21,Block+Spatial,Plant_height,19.746,6.742,20.709,0.953,0.226384346,0.107059553,0.766294232,0.532588463
DH2_Urb_21,Block,Grain_Yield,134146.114,317524.838,179506.805,0.747,0.296999648,0.269987753,0.646029164,0.292058328
DH2_Urb_21,Block+Spatial,Grain_Yield,117469.216,118073.702,134336.887,0.874,0.113091613,0.090147939,0.663001394,0.326002787
Jessica_2022_BLAVA,Block,Test_weight,164.737,134.579,232.027,0.71,0.550378852,0.073317612,0.79625608,0.59251216
Jessica_2022_BLAVA,Block+Spatial,Test_weight,164.25,119.083,223.791,0.734,0.671631495,0.162255084,0.799048282,0.598096563
Jessica_2022_BLAVA,Block,Plant_height,18.906,11.537,24.675,0.766,0.621033376,0.064005177,0.827418987,0.654837975
Jessica_2022_BLAVA,Block+Spatial,Plant_height,18.483,3.849,20.408,0.906,0.332711257,0.060424239,0.884784132,0.769568265
Jessica_2022_BLAVA,Block,Grain_Yield,123329.359,191072.694,218865.706,0.563,0.392266393,0.092896393,0.717983146,0.435966291
Jessica_2022_BLAVA,Block+Spatial,Grain_Yield,129319.704,125314.119,191976.764,0.674,0.29959595,0.082654212,0.749883303,0.499766606
Jessica_2022_WARVA,Block,Plant_height,13.654,7.918,17.613,0.775,0.632958403,0.061314612,0.834687719,0.669375438
